"uav0000070_02088_s (AOS=0.0001500785705457563, TL=0)",,"uav0000070_04877_s (AOS=0.0027033625042912684, TL=0)",,"uav0000071_00816_s (AOS=0.005098817032423367, TL=0)",,"uav0000071_01536_s (AOS=0.004930269484408397, TL=0)",,"uav0000071_02520_s (AOS=0.011772373605373428, TL=0)",,"uav0000072_02544_s (AOS=0.0018178864230330924, TL=8)",,"uav0000072_03792_s (AOS=0.031635855022416906, TL=9)",,"uav0000072_04680_s (AOS=0.021325354492247338, TL=0)",,"uav0000072_06672_s (AOS=0.0, TL=0)",,"uav0000072_08448_s (AOS=0.0041435109272588205, TL=1)",,"uav0000076_00241_s (AOS=0.0, TL=0)",,"uav0000080_01680_s (AOS=0.0005904654848024262, TL=0)",,"uav0000084_00000_s (AOS=0.0005579839647580929, TL=0)",,"uav0000084_00812_s (AOS=0.00011283224609927871, TL=0)",,"uav0000085_00000_s (AOS=7.398673863427403e-05, TL=0)",,"uav0000089_00920_s (AOS=0.0038040016257235355, TL=29)",,"uav0000090_00276_s (AOS=0.08408829037716817, TL=105)",,"uav0000090_01104_s (AOS=0.04157541728696596, TL=112)",,"uav0000091_00460_s (AOS=0.02367241949145559, TL=80)",,"uav0000091_01035_s (AOS=0.019958897669156785, TL=70)",,"uav0000091_01288_s (AOS=0.03351556492066568, TL=87)",,"uav0000091_02530_s (AOS=0.5692833761680169, TL=231)",,"uav0000099_02520_s (AOS=2.380191138990203e-05, TL=0)",,"uav0000107_01763_s (AOS=0.23454514106732532, TL=139)",,"uav0000126_07915_s (AOS=4.5699661822502514e-06, TL=0)",,"uav0000144_01980_s (AOS=0.004277453130944811, TL=0)",,"uav0000144_03200_s (AOS=0.0005650629641588634, TL=0)",,"uav0000147_00000_s (AOS=0.0, TL=0)",,"uav0000148_00840_s (AOS=0.0015374300889192608, TL=5)",,"uav0000149_00317_s (AOS=0.013193210527476063, TL=0)",,"uav0000159_00000_s (AOS=1.2346136276652221e-05, TL=0)",,"uav0000160_00000_s (AOS=0.0016016774641554174, TL=0)",,"uav0000169_00000_s (AOS=0.003771705545309425, TL=0)",,"uav0000170_00000_s (AOS=0.035201670922411325, TL=6)",
IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors
0.0,0.0,0.0,0.0,0.09465020576131687,73.57309290766564,0.057315714058270975,49.57822102496216,0.006654722293319683,55.90169943749474,0.06364749082007344,20.591260281974,0.0318272868907189,55.90169943749474,0.11219792865362485,72.02777242147643,0.0,72.00694410957877,0.0,0.0,0.0,0.0,0.0,45.27692569068709,0.0,77.92945527847606,0.0072800301242625836,43.01162633521314,0.0,0.0,0.1111111111111111,12.041594578792296,0.30434782608695654,5.385164807134504,0.1836734693877551,10.770329614269007,0.10294117647058823,12.529964086141668,0.09401709401709402,9.055385138137417,0.2857142857142857,7.810249675906654,0.5691788526434196,2.8284271247461903,0.0,0.0,0.47540983606557374,15.231546211727817,0.0,0.0,0.031461381154632685,82.76472678623425,0.0,0.0,0.0,0.0,0.0,28.792360097775937,0.525,24.351591323771842,0.0,71.58910531638176,0.17433751743375175,55.90169943749474,0.3220338983050847,20.024984394500787,0.3954802259887006,12.806248474865697
0.0,0.0,0.0,0.0,0.1271186440677966,60.53924347066124,0.07446408424219632,44.04543109109048,0.03906181881593862,39.20459156782532,0.028402366863905324,29.0,0.01399825021872266,60.90155991434045,0.07919426048565122,78.10249675906654,0.0,62.07253821135398,0.0,0.0,0.0,0.0,0.0,45.27692569068709,0.0,79.2464510246358,0.0,45.044422518220834,0.0,0.0,0.11188811188811189,11.661903789690601,0.30434782608695654,5.385164807134504,0.1836734693877551,10.770329614269007,0.1111111111111111,12.083045973594572,0.09401709401709402,9.055385138137417,0.2857142857142857,7.810249675906654,0.5691788526434196,3.605551275463989,0.0,0.0,0.47540983606557374,16.55294535724685,0.0,0.0,0.04377586755810251,77.62087348130012,0.0,0.0,0.0,0.0,0.0,29.732137494637012,0.5345454545454545,35.014282800023196,0.0,69.87131027825369,0.2392072213500785,47.43416490252569,0.4716981132075472,14.0,0.3885291396854764,12.806248474865697
0.0,0.0,0.0,0.0,0.07692307692307693,73.824115301167,0.06077260476668604,48.877397639399746,0.053455248813082466,34.438350715445125,0.021151586368977675,31.89043743820395,0.1624874623871615,32.01562118716424,0.08428121145676305,77.10382610480494,0.0,64.28063471995279,0.0,0.0,0.0,0.0,0.0,53.03772242470448,0.0,79.42921376924235,0.0,55.036351623268054,0.0,0.0,0.055991041433370664,15.811388300841896,0.30434782608695654,5.385164807134504,0.1836734693877551,10.770329614269007,0.1111111111111111,12.083045973594572,0.09401709401709402,9.055385138137417,0.2857142857142857,7.810249675906654,0.5691788526434196,3.1622776601683795,0.0,0.0,0.48142937535171637,16.64331697709324,0.0,0.0,0.08326449694366429,68.8839603971781,0.0,0.0,0.0,0.0,0.0,28.231188426986208,0.5289855072463768,31.016124838541646,0.0,70.61161377563892,0.241887318335656,46.010868281309364,0.3516819571865443,18.35755975068582,0.436046511627907,11.313708498984761
0.0,0.0,0.0,0.0,0.02702702702702703,82.00609733428362,0.07209816726353487,47.634021455258214,0.04056175854849965,38.8329756778952,0.013608087091757388,35.22782990761707,0.1624874623871615,32.01562118716424,0.15369088811995385,68.41052550594829,0.0,64.07027391856539,0.0,0.0,0.0,0.0,0.0,51.0098029794274,0.0,83.3606621854697,0.0,52.03844732503075,0.0,0.0,0.11851851851851852,11.40175425099138,0.42857142857142855,3.605551275463989,0.1836734693877551,10.770329614269007,0.1111111111111111,12.083045973594572,0.09734513274336283,9.055385138137417,0.2857142857142857,7.810249675906654,0.5691788526434196,5.0,0.0,0.0,0.48545893034472976,15.524174696260024,0.0,0.0,0.02881730617400916,78.16009211867653,0.0,0.0,0.0,0.0,0.013071895424836602,26.40075756488817,0.5345454545454545,34.9857113690718,0.0,69.05070600652827,0.16598130841121495,55.44366510251645,0.15555555555555556,24.758836806279895,0.42816365366317793,11.313708498984761
0.0,0.0,0.0,0.0,0.043137254901960784,76.68767828015137,0.0797208712201311,44.41846462902562,0.04192505895711416,38.27531841800928,0.006758061401815022,38.600518131237564,0.07964601769911504,33.12099032335839,0.15172217477939084,68.96375859826666,0.0,66.61080993352356,0.0,0.0,0.0,0.0,0.0,51.24451190127583,0.0,86.49277426467485,0.0,55.036351623268054,0.0,0.0,0.07462686567164178,14.317821063276353,0.42857142857142855,3.605551275463989,0.1836734693877551,10.770329614269007,0.1111111111111111,12.083045973594572,0.09734513274336283,9.055385138137417,0.2857142857142857,7.810249675906654,0.5554335894621295,5.830951894845301,0.0,0.0,0.48142937535171637,13.601470508735444,0.0,0.0,0.0,161.22034611053283,0.0,0.0,0.0,0.0,0.040268456375838924,24.596747752497688,0.5345454545454545,29.068883707497267,0.0,69.05070600652827,0.13550631752426295,58.215118311311535,0.16417910447761194,24.041630560342615,0.3954802259887006,12.806248474865697
0.0,0.0,0.0,0.0,0.0,90.13878188659973,0.11250475104522994,40.52159917870962,0.04192505895711416,38.27531841800928,0.005399151561897416,39.408120990476064,0.1633626097867001,34.48187929913333,0.1450403282864016,68.65857557508748,0.0,71.17583859709698,0.0,0.0,0.0,0.0,0.08298999411418481,36.49657518178932,0.0,89.62700485902673,0.0,53.03772242470448,0.0,0.0,0.07462686567164178,14.317821063276353,0.6,3.0,0.28888888888888886,8.54400374531753,0.1111111111111111,12.083045973594572,0.09734513274336283,9.055385138137417,0.2857142857142857,7.810249675906654,0.5691788526434196,5.830951894845301,0.0,0.0,0.48142937535171637,13.601470508735444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389830508474576,23.0,0.5150285819657017,37.16180835212409,0.0,68.9492567037528,0.1526374859708193,56.61271941887264,0.14954486345903772,24.839484696748443,0.4175209692451072,12.206555615733702
0.0,0.0,0.0,0.0,0.064,71.02112361825881,0.10312533447500803,40.45985664828782,0.05073548841715846,35.35533905932738,0.003464203233256351,40.80441152620633,0.19994668088509732,33.61547262794322,0.13190656035809203,70.83078426785913,0.0,71.11258679024411,0.0,0.0,0.0,0.0,0.05276946107784431,42.37924020083418,0.0,92.76313923105448,0.0,55.036351623268054,0.0,0.0,0.13091309130913092,11.40175425099138,0.6,3.0,0.24396782841823056,9.486832980505138,0.1111111111111111,12.083045973594572,0.06285714285714286,10.04987562112089,0.17857142857142858,10.63014581273465,0.5554335894621295,5.0,0.0,0.0,0.47540983606557374,14.317821063276353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.066592756745816,0.5150285819657017,33.015148038438355,0.0,82.85529554590944,0.11271571298819255,60.00833275470999,0.14507772020725387,25.0,0.4589928057553957,11.180339887498949
0.0,0.0,0.0,0.0,0.10833333333333334,65.39113089708727,0.10894125242091672,39.66106403010388,0.0551968155683326,34.0147027033899,0.0030781069642170067,40.496913462633174,0.18480043739748497,37.0,0.08821947283485745,76.79192665899195,0.0,71.25307010929424,0.0,0.0,0.0,0.0,0.00776593823370056,48.104053883222775,0.0,96.88137075826292,0.0,56.0357029044876,0.0,0.0,0.05714285714285714,15.231546211727817,0.6,3.0,0.1485148514851485,11.704699910719626,0.1111111111111111,11.704699910719626,0.06285714285714286,10.04987562112089,0.21224489795918366,9.433981132056603,0.5482406356413166,3.605551275463989,0.0,0.0,0.4793388429752066,15.297058540778355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.016124838541646,0.5150285819657017,32.202484376209235,0.0,83.2586331859946,0.1821712953971645,52.20153254455275,0.0,55.90169943749474,0.4472289156626506,11.661903789690601
0.0,0.0,0.0,0.0,0.12236286919831224,58.69412236331676,0.11127284489729905,39.824615503479755,0.0551968155683326,34.0147027033899,0.0,45.803929962395145,0.18382978723404256,38.600518131237564,0.10652263093121837,74.33034373659252,0.0,73.02739212103907,0.0,0.0,0.0,0.0,0.0,65.73431371817918,0.0,100.0199980003999,0.0,58.008620049092706,0.0,0.0,0.05714285714285714,15.231546211727817,0.7142857142857143,1.0,0.11538461538461539,12.649110640673518,0.08108108108108109,12.649110640673518,0.06285714285714286,10.04987562112089,0.21224489795918366,9.433981132056603,0.5354767184035477,3.605551275463989,0.0,0.0,0.4793388429752066,14.142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.016124838541646,0.5150285819657017,31.400636936215164,0.0,83.19254774317228,0.10364017881580148,61.00819617067857,0.0,51.264022471905186,0.3448275862068966,15.0
0.0,0.0,0.0,0.0,0.0,97.18538984847466,0.12528660334097608,36.6742416417845,0.05156911142454161,34.92849839314596,0.0,47.41307836451879,0.13118461973423806,38.8329756778952,0.07727517501346258,79.42921376924235,0.0,73.06161783043132,0.0,0.0,0.0,0.0,0.0,63.00793600809346,0.0,0.0,0.0,61.00819617067857,0.0,0.0,0.0626865671641791,15.556349186104045,0.6666666666666666,1.0,0.11538461538461539,12.649110640673518,0.08108108108108109,12.649110640673518,0.056818181818181816,10.198039027185569,0.10408921933085502,13.601470508735444,0.5691788526434196,3.605551275463989,0.0,0.0,0.47540983606557374,15.297058540778355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.14108798023731,0.5009865470852017,47.80167361086848,0.0,73.00684899377592,0.0,86.68333173107735,0.0,54.08326913195984,0.303951367781155,17.029386365926403
